report_date,product,put_call,contract,strike,volume,oi,oi_change,oi_prev
20260902,standard,Put,2609,20000,23,1549,-3,1552
20260902,standard,Call,2609,30000,0,3750,0,3750
20260902,standard,Put,2609,21000,12,343,0,343
20260902,standard,Call,2609,37000,0,1,0,1
20260902,standard,Put,2609,22000,0,485,0,485
20260902,standard,Call,2609,40000,0,5,0,5
20260902,standard,Put,2609,23000,0,296,0,296
20260902,standard,Call,2609,42000,0,101,0,101
20260902,standard,Put,2609,24000,0,151,0,151
20260902,standard,Call,2609,42500,0,10,0,10
20260902,standard,Put,2609,25000,3,3940,0,3940
20260902,standard,Call,2609,43000,0,100,0,100
20260902,standard,Put,2609,26000,0,228,0,228
20260902,standard,Call,2609,43500,0,57,0,57
20260902,standard,Put,2609,27000,0,203,0,203
20260902,standard,Call,2609,45000,0,42,0,42
20260902,standard,Put,2609,27250,0,11,0,11
20260902,standard,Call,2609,48000,0,400,0,400
20260902,standard,Put,2609,27500,0,21,0,21
20260902,standard,Call,2609,48500,0,240,0,240
20260902,standard,Put,2609,27750,0,8,0,8
20260902,standard,Call,2609,49000,0,200,0,200
20260902,standard,Put,2609,28000,0,87,0,87
20260902,standard,Call,2609,50000,0,4650,0,4650
20260902,standard,Put,2609,28250,0,2,0,2
20260902,standard,Call,2609,50500,0,50,0,50
20260902,standard,Put,2609,28500,0,10,0,10
20260902,standard,Call,2609,51000,0,141,0,141
20260902,standard,Put,2609,28750,0,68,0,68
20260902,standard,Call,2609,51250,0,210,0,210
20260902,standard,Put,2609,29000,1,89,-1,90
20260902,standard,Call,2609,52000,0,350,0,350
20260902,standard,Put,2609,29250,0,3,0,3
20260902,standard,Call,2609,53000,0,1100,0,1100
20260902,standard,Put,2609,29500,1,30,0,30
20260902,standard,Call,2609,53500,0,400,0,400
20260902,standard,Put,2609,29750,0,11,0,11
20260902,standard,Call,2609,53750,0,150,0,150
20260902,standard,Put,2609,30000,0,6460,0,6460
20260902,standard,Call,2609,54000,0,1056,0,1056
20260902,standard,Put,2609,30250,0,1,0,1
20260902,standard,Call,2609,54250,0,50,0,50
20260902,standard,Put,2609,30500,0,86,0,86
20260902,standard,Call,2609,54500,0,200,0,200
20260902,standard,Put,2609,30750,0,8,0,8
20260902,standard,Call,2609,54750,0,90,0,90
20260902,standard,Put,2609,31000,0,211,0,211
20260902,standard,Call,2609,55000,0,660,0,660
20260902,standard,Put,2609,31250,0,1,0,1
20260902,standard,Call,2609,56000,0,1250,0,1250
20260902,standard,Put,2609,31500,0,12,0,12
20260902,standard,Call,2609,56500,0,75,0,75
20260902,standard,Put,2609,31750,0,14,0,14
20260902,standard,Call,2609,57000,0,850,0,850
20260902,standard,Put,2609,32000,6,179,-5,184
20260902,standard,Call,2609,57500,0,384,0,384
20260902,standard,Put,2609,32250,0,4,0,4
20260902,standard,Call,2609,58000,0,1101,0,1101
20260902,standard,Put,2609,32500,8,34,1,33
20260902,standard,Call,2609,59000,0,1096,0,1096
20260902,standard,Put,2609,32750,5,9,0,9
20260902,standard,Call,2609,60000,0,786,0,786
20260902,standard,Put,2609,33000,10,511,-10,521
20260902,standard,Call,2609,60500,0,750,0,750
20260902,standard,Put,2609,33250,0,1,0,1
20260902,standard,Call,2609,60750,0,120,0,120
20260902,standard,Put,2609,33500,8,21,8,13
20260902,standard,Call,2609,61000,0,221,0,221
20260902,standard,Put,2609,33750,0,4,0,4
20260902,standard,Call,2609,61250,0,22,0,22
20260902,standard,Put,2609,34000,9,180,4,176
20260902,standard,Call,2609,61500,0,2,0,2
20260902,standard,Put,2609,34250,0,2,0,2
20260902,standard,Call,2609,61875,0,2,0,2
20260902,standard,Put,2609,34500,0,35,0,35
20260902,standard,Call,2609,62000,0,2002,0,2002
20260902,standard,Put,2609,34750,5,69,0,69
20260902,standard,Call,2609,62250,0,1,0,1
20260902,standard,Put,2609,35000,45,3917,9,3908
20260902,standard,Call,2609,62500,0,801,0,801
20260902,standard,Put,2609,35250,5,8,5,3
20260902,standard,Call,2609,63000,0,967,0,967
20260902,standard,Put,2609,35500,8,20,8,12
20260902,standard,Call,2609,63250,0,1,0,1
20260902,standard,Put,2609,35750,0,52,0,52
20260902,standard,Call,2609,63500,0,4,0,4
20260902,standard,Put,2609,36000,70,286,3,283
20260902,standard,Call,2609,64000,14,1695,6,1689
20260902,standard,Put,2609,36250,0,5,0,5
20260902,standard,Call,2609,64250,7,104,4,100
20260902,standard,Put,2609,36500,5,46,4,42
20260902,standard,Call,2609,64500,34,108,4,104
20260902,standard,Put,2609,36750,2,69,2,67
20260902,standard,Call,2609,64750,1,2,1,1
20260902,standard,Put,2609,37000,11,600,-5,605
20260902,standard,Call,2609,64875,26,27,26,1
20260902,standard,Put,2609,37250,0,1,0,1
20260902,standard,Call,2609,65000,577,5371,-17,5388
20260902,standard,Put,2609,37500,1,20,-1,21
20260902,standard,Call,2609,65125,11,5,3,2
20260902,standard,Put,2609,37750,2,6,0,6
20260902,standard,Call,2609,65250,20,11,8,3
20260902,standard,Put,2609,38000,37,968,2,966
20260902,standard,Call,2609,65375,0,1,0,1
20260902,standard,Put,2609,38250,0,21,0,21
20260902,standard,Call,2609,65500,129,261,69,192
20260902,standard,Put,2609,38500,95,328,88,240
20260902,standard,Call,2609,65625,0,5,0,5
20260902,standard,Put,2609,38750,0,14,0,14
20260902,standard,Call,2609,65750,7,11,2,9
20260902,standard,Put,2609,39000,66,194,43,151
20260902,standard,Call,2609,65875,0,1,0,1
20260902,standard,Put,2609,39250,0,165,0,165
20260902,standard,Call,2609,66000,468,2020,224,1796
20260902,standard,Put,2609,39500,3,309,3,306
20260902,standard,Call,2609,66125,0,40,0,40
20260902,standard,Put,2609,39750,0,10,0,10
20260902,standard,Call,2609,66250,9,86,0,86
20260902,standard,Put,2609,40000,202,4938,22,4916
20260902,standard,Call,2609,66375,0,1,0,1
20260902,standard,Put,2609,40250,0,19,0,19
20260902,standard,Call,2609,66500,748,2803,382,2421
20260902,standard,Put,2609,40500,1,181,0,181
20260902,standard,Call,2609,66625,2,4,1,3
20260902,standard,Put,2609,40750,2,49,0,49
20260902,standard,Call,2609,66750,0,1611,0,1611
20260902,standard,Put,2609,41000,35,1002,28,974
20260902,standard,Call,2609,66875,9,2,-5,7
20260902,standard,Put,2609,41250,3,34,3,31
20260902,standard,Call,2609,67000,546,2765,193,2572
20260902,standard,Put,2609,41500,6,68,3,65
20260902,standard,Call,2609,67125,2,6,1,5
20260902,standard,Put,2609,41750,14,17,-9,26
20260902,standard,Call,2609,67250,15,15,-1,16
20260902,standard,Put,2609,42000,76,2193,38,2155
20260902,standard,Call,2609,67375,15,33,2,31
20260902,standard,Put,2609,42250,1,22,1,21
20260902,standard,Call,2609,67500,446,1626,199,1427
20260902,standard,Put,2609,42500,0,59,0,59
20260902,standard,Call,2609,67625,0,11,-31,42
20260902,standard,Put,2609,42750,0,20,0,20
20260902,standard,Call,2609,67750,13,495,6,489
20260902,standard,Put,2609,43000,47,1223,10,1213
20260902,standard,Call,2609,67875,0,56,0,56
20260902,standard,Put,2609,43250,0,60,0,60
20260902,standard,Call,2609,68000,765,3398,120,3278
20260902,standard,Put,2609,43500,1,887,0,887
20260902,standard,Call,2609,68125,0,86,0,86
20260902,standard,Put,2609,43750,2,16,0,16
20260902,standard,Call,2609,68250,38,55,23,32
20260902,standard,Put,2609,44000,85,1433,-6,1439
20260902,standard,Call,2609,68375,1,25,0,25
20260902,standard,Put,2609,44250,2,33,0,33
20260902,standard,Call,2609,68500,351,636,261,375
20260902,standard,Put,2609,44500,6,213,0,213
20260902,standard,Call,2609,68625,1,26,-1,27
20260902,standard,Put,2609,44750,0,39,0,39
20260902,standard,Call,2609,68750,6,319,0,319
20260902,standard,Put,2609,45000,94,2580,-5,2585
