report_date,product,put_call,contract,strike,volume,oi,oi_change,oi_prev
20260914,standard,Put,2610,20000,535,1250,233,1017
20260914,standard,Call,2610,35000,0,24,0,24
20260914,standard,Put,2610,22500,119,247,115,132
20260914,standard,Call,2610,42750,3,3,3,0
20260914,standard,Put,2610,25000,42,1546,37,1509
20260914,standard,Call,2610,45000,0,2,0,2
20260914,standard,Put,2610,26000,3,66,1,65
20260914,standard,Call,2610,47500,0,34,0,34
20260914,standard,Put,2610,27000,39,138,23,115
20260914,standard,Call,2610,50000,1,1,1,0
20260914,standard,Put,2610,28000,81,74,51,23
20260914,standard,Call,2610,53000,0,34,0,34
20260914,standard,Put,2610,29000,23,35,16,19
20260914,standard,Call,2610,55000,0,4,0,4
20260914,standard,Put,2610,30000,143,6137,63,6074
20260914,standard,Call,2610,57000,0,1,0,1
20260914,standard,Put,2610,31000,29,57,29,28
20260914,standard,Call,2610,59500,4,4,4,0
20260914,standard,Put,2610,32000,37,148,24,124
20260914,standard,Call,2610,60000,5,5,4,1
20260914,standard,Put,2610,33000,174,2818,49,2769
20260914,standard,Call,2610,60500,0,100,0,100
20260914,standard,Put,2610,34000,114,76,13,63
20260914,standard,Call,2610,61000,0,201,0,201
20260914,standard,Put,2610,35000,283,2104,-14,2118
20260914,standard,Call,2610,62000,0,49,0,49
20260914,standard,Put,2610,36000,81,75,20,55
20260914,standard,Call,2610,62500,1,0,-1,1
20260914,standard,Put,2610,37000,154,253,47,206
20260914,standard,Call,2610,63000,77,43,29,14
20260914,standard,Put,2610,38000,120,123,78,45
20260914,standard,Call,2610,63125,2,0,0,0
20260914,standard,Put,2610,39000,59,120,12,108
20260914,standard,Call,2610,63250,5,5,5,0
20260914,standard,Put,2610,40000,222,4341,62,4279
20260914,standard,Call,2610,63500,26,12,5,7
20260914,standard,Put,2610,41000,26,166,18,148
20260914,standard,Call,2610,63875,0,50,0,50
20260914,standard,Put,2610,42000,59,193,22,171
20260914,standard,Call,2610,64000,106,280,17,263
20260914,standard,Put,2610,42750,16,31,0,31
20260914,standard,Call,2610,64250,0,1,0,1
20260914,standard,Put,2610,43000,97,299,55,244
20260914,standard,Call,2610,64375,0,60,0,60
20260914,standard,Put,2610,43250,3,15,0,15
20260914,standard,Call,2610,64500,42,63,24,39
20260914,standard,Put,2610,43500,17,20,5,15
20260914,standard,Call,2610,64625,686,687,686,1
20260914,standard,Put,2610,43750,10,13,0,13
20260914,standard,Call,2610,64750,0,755,0,755
20260914,standard,Put,2610,44000,75,269,11,258
20260914,standard,Call,2610,65000,292,621,-23,644
20260914,standard,Put,2610,44250,0,36,0,36
20260914,standard,Call,2610,65250,2,19,0,19
20260914,standard,Put,2610,44500,6,5,0,5
20260914,standard,Call,2610,65375,0,5,0,5
20260914,standard,Put,2610,44750,1,37,0,37
20260914,standard,Call,2610,65500,77,231,66,165
20260914,standard,Put,2610,45000,263,2181,24,2157
20260914,standard,Call,2610,65750,18,59,0,59
20260914,standard,Put,2610,45250,0,30,0,30
20260914,standard,Call,2610,65875,0,2,0,2
20260914,standard,Put,2610,45500,407,915,7,908
20260914,standard,Call,2610,66000,349,1964,-145,2109
20260914,standard,Put,2610,45750,6,132,0,132
20260914,standard,Call,2610,66125,0,1,0,1
20260914,standard,Put,2610,46000,146,501,108,393
20260914,standard,Call,2610,66250,79,73,68,5
20260914,standard,Put,2610,46250,1,13,0,13
20260914,standard,Call,2610,66375,1,1,0,1
20260914,standard,Put,2610,46500,5,257,0,257
20260914,standard,Call,2610,66500,56,33,8,25
20260914,standard,Put,2610,46750,12,133,1,132
20260914,standard,Call,2610,66750,3,124,1,123
20260914,standard,Put,2610,47000,46,425,9,416
20260914,standard,Call,2610,66875,0,20,0,20
20260914,standard,Put,2610,47250,15,44,2,42
20260914,standard,Call,2610,67000,233,1519,52,1467
20260914,standard,Put,2610,47500,12,43,0,43
20260914,standard,Call,2610,67125,0,28,0,28
20260914,standard,Put,2610,47750,6,47,1,46
20260914,standard,Call,2610,67250,7,9,4,5
20260914,standard,Put,2610,48000,181,952,51,901
20260914,standard,Call,2610,67375,2,74,0,74
20260914,standard,Put,2610,48250,8,55,2,53
20260914,standard,Call,2610,67500,431,703,313,390
20260914,standard,Put,2610,48500,16,203,4,199
20260914,standard,Call,2610,67625,2,85,0,85
20260914,standard,Put,2610,48750,5,28,3,25
20260914,standard,Call,2610,67750,15,1019,7,1012
20260914,standard,Put,2610,49000,92,285,12,273
20260914,standard,Call,2610,67875,4,1,1,0
20260914,standard,Put,2610,49250,14,88,8,80
20260914,standard,Call,2610,68000,416,1388,20,1368
20260914,standard,Put,2610,49500,10,217,3,214
20260914,standard,Call,2610,68125,3,8,0,8
20260914,standard,Put,2610,49750,5,69,3,66
20260914,standard,Call,2610,68250,2,95,1,94
20260914,standard,Put,2610,50000,1020,1403,-271,1674
20260914,standard,Call,2610,68500,44,1161,-23,1184
20260914,standard,Put,2610,50250,3,69,1,68
20260914,standard,Call,2610,68750,3,125,1,124
20260914,standard,Put,2610,50500,4,438,2,436
20260914,standard,Call,2610,68875,60,145,60,85
20260914,standard,Put,2610,50750,6,61,3,58
20260914,standard,Call,2610,69000,315,3092,15,3077
20260914,standard,Put,2610,51000,127,520,28,492
20260914,standard,Call,2610,69250,19,10,3,7
20260914,standard,Put,2610,51250,101,191,100,91
20260914,standard,Call,2610,69500,83,376,19,357
20260914,standard,Put,2610,51500,20,454,11,443
20260914,standard,Call,2610,69625,11,95,0,95
20260914,standard,Put,2610,51750,14,84,4,80
20260914,standard,Call,2610,69750,19,87,5,82
20260914,standard,Put,2610,52000,1172,1624,-252,1876
20260914,standard,Call,2610,69875,3,107,0,107
20260914,standard,Put,2610,52250,8,50,3,47
20260914,standard,Call,2610,70000,761,2082,279,1803
20260914,standard,Put,2610,52500,60,488,21,467
20260914,standard,Call,2610,70250,15,17,3,14
